time,requestor,role,component,request_type,violation_type,score
2016-08-10 06:15:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:29:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:43:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:58:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 07:12:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-10 07:27:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-10 07:41:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-10 07:55:00,User A,Analyst,Element 3,Append,No authorization,TRUE
2016-08-10 08:10:00,User A,Analyst,Element 1,Select,No authorization,FALSE
2016-08-10 08:24:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 08:39:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 08:53:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 09:07:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 09:22:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 09:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 10:05:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 10:19:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 10:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 10:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 11:03:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-10 11:17:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-10 11:03:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 11:17:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 11:31:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 11:46:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-10 12:00:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 12:15:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-10 12:29:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 12:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 12:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 01:12:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 01:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
